Theodore Roosevelt,"Do what you can, with what you have, where you are.",2026-05-20 15:00:00.0000000 +00:00,2,12,118,2026-05-20 16:00:00.0000000 +00:00,66
Theodore Roosevelt,"It is hard to fail, but it is worse never to have tried to succeed.",2026-05-20 16:00:00.0000000 +00:00,3,11,0,2026-05-21 09:00:00.0000000 +00:00,67
Theodore Roosevelt,The best prize life offers is the chance to work hard at work worth doing.,2026-05-21 09:00:00.0000000 +00:00,4,10,1,,68
William Shakespeare,"To be, or not to be, that is the question.",2026-03-28 10:00:00.0000000 +00:00,1,59,,2026-05-21 16:00:00.0000000 +00:00,19
William Shakespeare,"All the world's a stage, and all the men and women merely players.",2026-05-21 16:00:00.0000000 +00:00,2,3,54,2026-05-22 09:00:00.0000000 +00:00,75
William Shakespeare,"We know what we are, but know not what we may be.",2026-05-22 09:00:00.0000000 +00:00,3,2,1,2026-05-22 10:00:00.0000000 +00:00,76
William Shakespeare,The course of true love never did run smooth.,2026-05-22 10:00:00.0000000 +00:00,4,1,0,,77
Winston Churchill,"Success is not final, failure is not fatal: it is the courage to continue that counts.",2025-07-20 14:30:00.0000000 +00:00,1,74,,2026-04-29 09:00:00.0000000 +00:00,4
Winston Churchill,"If you're going through hell, keep going.",2026-04-29 09:00:00.0000000 +00:00,2,48,283,2026-04-30 10:00:00.0000000 +00:00,30
Winston Churchill,"We make a living by what we get, but we make a life by what we give.",2026-04-30 10:00:00.0000000 +00:00,3,47,1,2026-05-01 11:00:00.0000000 +00:00,31
Winston Churchill,Attitude is a little thing that makes a big difference.,2026-05-01 11:00:00.0000000 +00:00,4,46,1,,32
